timestamp,observed,trend,seasonal,residual,threshold_value,trend_slope,candidate,kept
2025-09-11 00:00:00,22.5,23.37608365017527,-1.165883151340998,0.28979950116572795,0.5636807075686542,,False,False
2025-09-11 00:30:00,22.5,23.37615302405861,-1.220221368735491,0.34406834467688086,0.5546139079737694,,False,False
2025-09-11 01:00:00,22.4,23.37623095220935,-1.6834351599471113,0.7072042077377603,0.5545968048284278,,True,False
2025-09-11 01:30:00,22.4,23.37631748012772,-1.7527954869017515,0.7764780067740276,0.5326002406694994,,True,False
2025-09-11 02:00:00,22.3,23.376412644465656,-2.0256075615492364,0.949194917083581,0.5173783337587516,,True,False
2025-09-11 02:30:00,22.2,23.376516472107284,-1.9197250372579002,0.7432085651506171,0.5021564268480039,,True,False
2025-09-11 03:00:00,22.1,23.376628980021316,-2.020246759294652,0.743617779273336,0.5006226751610808,,True,False
2025-09-11 03:30:00,22.0,23.376750175447054,-2.083207135261521,0.7064569598144672,0.49826470843008513,9.088830767408258e-05,True,False
2025-09-11 04:00:00,21.8,23.376880055965273,-2.391508722993641,0.8146286670283693,0.4917063932538752,9.952523140732694e-05,True,False
2025-09-11 04:30:00,21.5,23.377018609535224,-2.5600486688347392,0.6830300592995151,0.4851480780776653,0.00010818395932036633,True,False
2025-09-11 05:00:00,21.4,23.37716581430395,-2.589444917766239,0.6122791034622885,0.484141263847125,0.00011685490125046272,True,False
2025-09-11 05:30:00,21.3,23.377321638989105,-2.609758277633062,0.5324366386439578,0.48313444961658475,0.0001255283063823498,True,False
2025-09-11 06:00:00,21.1,23.37748604342201,-2.7381281065544125,0.4606420631324042,0.4770315599892383,0.0001341944803036436,False,False
2025-09-11 06:30:00,21.0,23.377658979235107,-2.9125187624527227,0.5348597832176161,0.472181932563425,0.0001428439001157263,True,False
2025-09-11 07:00:00,20.9,23.37784039035221,-2.9791995044378705,0.5013591140856626,0.47206772228269983,0.00015146729800896708,True,False
2025-09-11 07:30:00,20.9,23.37803021261299,-2.938288245500607,0.4602580328876158,0.47244647396814465,0.00016005573115585037,False,False
2025-09-11 08:00:00,20.9,23.378228373920184,-2.5945920967284635,0.116363722808277,0.4770315599892383,0.00016860051296122927,False,False
