,Datetime,SA DPT,SA Temp,RA DPT,SA %RH,RA Temp,RA Humidity
17,2022-01-02 00:38:53,16.7,21.8,15.8,72.7,21.8,69.5
18,2022-01-02 00:38:53,16.7,21.8,15.8,72.7,21.8,69.5
19,2022-01-02 00:38:53,15.1,20.4,15.7,72.6,21.5,70.4
20,2022-01-02 00:38:53,15.0,20.0,16.3,72.7,23.3,65.2
21,2022-01-02 00:38:53,15.0,20.1,16.5,73.1,24.0,62.8
22,2022-01-02 00:38:53,17.1,22.0,17.9,74.0,25.0,64.8
23,2022-01-02 00:38:53,16.7,21.6,18.0,74.2,24.9,66.0
24,2022-01-02 00:58:36,15.4,20.2,18.0,74.3,25.1,64.9
25,2022-01-02 00:58:36,13.8,18.6,17.9,74.5,24.8,66.0
26,2022-01-02 00:58:36,13.9,18.5,17.8,74.8,24.9,65.1
27,2022-01-02 00:58:36,15.6,20.2,17.7,75.4,24.8,65.6
28,2022-01-02 00:58:36,16.3,20.8,18.0,75.7,25.1,64.8
29,2022-01-02 00:58:36,13.9,18.3,17.3,75.9,24.9,63.3
30,2022-01-02 00:58:36,14.4,18.8,17.3,76.2,24.9,62.9
31,2022-01-02 00:58:36,16.0,20.2,17.3,76.8,24.9,62.7
32,2022-01-02 00:58:36,14.3,18.5,17.4,76.7,25.3,62.4
33,2022-01-02 00:58:36,15.2,19.4,17.4,77.1,25.0,62.7
34,2022-01-02 00:58:36,15.8,20.0,17.7,77.5,25.0,63.7
35,2022-01-02 00:58:36,14.4,18.6,17.2,77.5,25.0,62.6
36,2022-01-02 01:20:52,16.6,20.6,17.4,77.9,25.0,63.2
37,2022-01-02 01:20:52,15.5,19.5,17.6,77.9,25.2,62.9
38,2022-01-02 01:20:52,14.9,18.9,17.8,78.0,25.2,64.0
39,2022-01-02 01:20:52,14.5,18.5,17.9,78.2,25.0,64.8
40,2022-01-02 01:20:52,14.7,18.7,18.0,78.4,24.9,65.9
41,2022-01-02 01:20:52,16.0,19.8,17.8,79.0,24.9,65.0
42,2022-01-02 01:20:52,16.9,20.7,17.9,79.3,25.0,64.7
43,2022-01-02 01:20:52,16.4,20.2,17.8,79.3,25.2,64.3
44,2022-01-02 01:20:52,15.2,19.0,17.9,79.4,25.0,64.8
45,2022-01-02 01:20:52,15.2,19.0,17.7,79.5,25.0,64.3
46,2022-01-02 01:20:52,15.2,18.8,17.6,79.7,24.7,65.2
47,2022-01-02 01:20:52,15.9,19.5,17.7,79.9,25.1,64.0
48,2022-01-02 01:45:09,15.2,18.8,17.5,80.1,24.6,65.3
49,2022-01-02 01:45:09,15.0,18.6,17.6,80.1,24.9,64.5
50,2022-01-02 01:45:09,14.8,18.4,17.4,80.3,24.7,64.3
51,2022-01-02 01:45:09,15.1,18.7,17.4,80.4,24.7,64.6
52,2022-01-02 01:45:09,16.3,19.7,17.5,80.7,24.8,64.6
53,2022-01-02 01:45:09,16.3,19.7,17.6,80.9,24.7,64.8
54,2022-01-02 01:45:09,14.9,18.3,17.5,81.0,24.3,65.7
55,2022-01-02 01:45:09,14.1,17.4,16.6,81.0,22.6,69.6
0,2022-01-03 23:24:34,18.1,21.5,17.9,81.4,23.8,70.2
1,2022-01-03 23:43:58,18.6,22.1,18.0,81.4,24.3,68.5
2,2022-01-03 00:21:11,18.7,22.2,17.8,81.2,24.4,67.3
3,2022-01-03 00:21:11,18.9,22.4,17.7,81.0,24.5,66.0
4,2022-01-03 00:46:16,18.9,22.6,17.7,80.6,24.8,65.2
5,2022-01-03 00:46:16,19.0,22.7,17.7,80.3,24.8,65.0
6,2022-01-03 01:10:11,19.2,22.9,17.5,79.9,24.8,64.2
7,2022-01-03 01:10:11,19.1,23.0,17.0,79.5,24.8,62.4
8,2022-01-03 01:35:57,19.1,23.0,17.0,79.0,24.8,61.9
9,2022-01-03 01:35:57,19.1,23.2,16.8,78.6,24.9,61.5
10,2022-01-03 01:55:15,19.2,23.3,17.1,78.0,24.9,62.4
11,2022-01-03 01:55:15,19.0,23.3,17.0,77.4,24.8,62.2
12,2022-01-03 02:16:00,19.0,23.3,16.8,76.9,24.6,62.3
13,2022-01-03 02:16:00,18.1,22.6,17.2,76.4,24.8,63.0
14,2022-01-03 02:40:05,18.6,23.1,17.4,76.2,25.3,62.6
15,2022-01-03 02:40:05,14.4,18.8,17.0,75.9,24.6,63.6
16,2022-01-03 03:04:52,15.4,19.8,16.9,76.2,24.7,62.6
17,2022-01-03 03:04:52,15.8,20.2,17.1,76.6,24.9,62.3
18,2022-01-03 03:31:02,16.9,21.1,17.2,76.9,25.1,61.9
19,2022-01-03 03:31:02,14.9,19.1,17.2,76.9,25.1,62.3
20,2022-01-03 03:55:54,15.0,19.2,17.1,77.3,24.9,62.5
21,2022-01-03 03:55:54,15.3,19.5,16.6,77.6,25.0,60.5
